2012-07-12 10:42:19+0800 [scrapy] INFO: Scrapy 0.14.4 started (bot: coreSpider)
2012-07-12 10:42:19+0800 [scrapy] DEBUG: Enabled extensions: LogStats, TelnetConsole, CloseSpider, WebService, CoreStats, MemoryUsage, SpiderState
2012-07-12 10:42:19+0800 [scrapy] DEBUG: Enabled downloader middlewares: HttpAuthMiddleware, DownloadTimeoutMiddleware, UserAgentMiddleware, RetryMiddleware, DefaultHeadersMiddleware, RedirectMiddleware, CookiesMiddleware, HttpCompressionMiddleware, ChunkedTransferMiddleware, DownloaderStats
2012-07-12 10:42:19+0800 [scrapy] DEBUG: Enabled spider middlewares: HttpErrorMiddleware, OffsiteMiddleware, RefererMiddleware, UrlLengthMiddleware, DepthMiddleware
2012-07-12 10:42:19+0800 [scrapy] DEBUG: Enabled item pipelines: 
2012-07-12 10:42:19+0800 [coreSpider] INFO: Spider opened
2012-07-12 10:42:19+0800 [coreSpider] INFO: Crawled 0 pages (at 0 pages/min), scraped 0 items (at 0 items/min)
2012-07-12 10:42:19+0800 [scrapy] DEBUG: Telnet console listening on 0.0.0.0:6023
2012-07-12 10:42:19+0800 [scrapy] DEBUG: Web service listening on 0.0.0.0:6080
2012-07-12 10:42:20+0800 [coreSpider] DEBUG: Crawled (200) <GET http://demo.testfire.net/> (referer: None)
2012-07-12 10:42:22+0800 [coreSpider] DEBUG: Filtered offsite request to 'www.watchfire.com': <GET http://www.watchfire.com/statements/terms.aspx>
2012-07-12 10:42:23+0800 [coreSpider] DEBUG: Retrying <GET http://demo.testfire.net/default.aspx?content=personal_savings.htm> (failed 1 times): 500 Internal Server Error
2012-07-12 10:42:24+0800 [coreSpider] DEBUG: Crawled (200) <GET http://demo.testfire.net/default.aspx> (referer: http://demo.testfire.net/)
2012-07-12 10:42:24+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspxdefault.aspx 
2012-07-12 10:42:24+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspxbank/login.aspx 
2012-07-12 10:42:24+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspxdefault.aspx?content=inside_contact.htm 
2012-07-12 10:42:24+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspxfeedback.aspx 
2012-07-12 10:42:24+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspxbank/login.aspx 
2012-07-12 10:42:24+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspxdefault.aspx?content=personal.htm 
2012-07-12 10:42:24+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspxdefault.aspx?content=business.htm 
2012-07-12 10:42:24+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspxdefault.aspx?content=inside.htm 
2012-07-12 10:42:24+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspxdefault.aspx?content=personal.htm 
2012-07-12 10:42:24+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspxdefault.aspx?content=personal_deposit.htm 
2012-07-12 10:42:24+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspxdefault.aspx?content=personal_checking.htm 
2012-07-12 10:42:24+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspxdefault.aspx?content=personal_loans.htm 
2012-07-12 10:42:24+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspxdefault.aspx?content=personal_cards.htm 
2012-07-12 10:42:24+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspxdefault.aspx?content=personal_investments.htm 
2012-07-12 10:42:24+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspxdefault.aspx?content=personal_other.htm 
2012-07-12 10:42:24+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspxdefault.aspx?content=business.htm 
2012-07-12 10:42:24+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspxdefault.aspx?content=business_deposit.htm 
2012-07-12 10:42:24+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspxdefault.aspx?content=business_lending.htm 
2012-07-12 10:42:24+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspxdefault.aspx?content=business_cards.htm 
2012-07-12 10:42:24+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspxdefault.aspx?content=business_insurance.htm 
2012-07-12 10:42:24+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspxdefault.aspx?content=business_retirement.htm 
2012-07-12 10:42:24+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspxdefault.aspx?content=business_other.htm 
2012-07-12 10:42:24+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspxdefault.aspx?content=inside.htm 
2012-07-12 10:42:24+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspxdefault.aspx?content=inside_about.htm 
